                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.3857,                 3.2689,                 1.7908,                0.01642,                0.36071,                0.04431,                0.01904,                 2.2999,                 3.4374,                 1.6386,                 0.0002,                 0.0002,                 0.0002
                      1,                 2.2384,                 2.3352,                  1.598,                0.01642,                0.36071,                0.04909,                 0.0134,                 2.7776,                 3.1972,                 2.0856,             0.00041584,             0.00041584,             0.00041584
                      2,                 2.2192,                 2.0445,                 1.5735,                0.02453,                0.51429,                0.13591,                0.03392,                 2.4933,                 2.7966,                 1.7687,             0.00062733,             0.00062733,             0.00062733
                      3,                 2.1762,                 1.9666,                 1.6046,                0.56589,                0.10714,                0.19087,                0.05804,                 2.4851,                 2.6429,                 1.8783,             0.00083446,             0.00083446,             0.00083446
                      4,                 2.2054,                 1.9089,                 1.5336,                0.27978,                0.27748,                 0.1756,                0.05455,                 2.4426,                 2.3035,                 1.8663,              0.0010372,              0.0010372,              0.0010372
                      5,                 2.1075,                 1.8291,                 1.5611,                0.36506,                0.25714,                0.23346,                0.06886,                 2.5158,                 2.2964,                 1.8963,              0.0012357,              0.0012357,              0.0012357
                      6,                 2.1552,                 1.8634,                 1.5678,                 0.3086,                0.19107,                0.12031,                0.02924,                  2.883,                  2.557,                 2.1846,              0.0014297,              0.0014297,              0.0014297
                      7,                 2.1323,                 1.8317,                 1.5451,                0.39809,                0.31786,                  0.276,                 0.0794,                 2.5021,                 2.3941,                 1.8091,              0.0016194,              0.0016194,              0.0016194
                      8,                 2.0512,                 1.8289,                 1.5239,                0.31616,                0.30893,                0.23533,                0.07396,                 2.4743,                 2.2681,                    1.8,              0.0018048,              0.0018048,              0.0018048
                      9,                 2.0999,                  1.793,                 1.5071,                0.31993,                0.35179,                0.23036,                0.06745,                 2.5107,                 2.2515,                 1.8159,              0.0018218,              0.0018218,              0.0018218
                     10,                 2.0988,                 1.7983,                 1.5078,                0.30586,                0.31001,                 0.2106,                0.06462,                 2.3762,                 2.1598,                 1.6541,              0.0018218,              0.0018218,              0.0018218
                     11,                 2.0946,                 1.7267,                 1.5046,                0.32283,                0.38821,                0.24568,                0.08385,                 2.3773,                 2.2201,                 1.7488,               0.001802,               0.001802,               0.001802
                     12,                  2.048,                 1.7107,                 1.5283,                0.22169,                0.33393,                0.16526,                0.05115,                 2.6196,                 2.8153,                 2.0006,              0.0017822,              0.0017822,              0.0017822
                     13,                  2.049,                 1.7754,                 1.5389,                0.32232,                0.27143,                0.20418,                0.06485,                 2.6575,                  2.437,                 1.9101,              0.0017624,              0.0017624,              0.0017624
